label,text,label_num,text_clean,text_length,word_count
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,111,20
ham,Ok lar... Joking wif u oni...,0,ok lar joking wif u oni,29,6
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry questionstd txt ratetcs apply overs,155,28
ham,U dun say so early hor... U c already then say...,0,u dun say so early hor u c already then say,49,11
ham,"Nah I don't think he goes to usf, he lives around here though",0,nah i dont think he goes to usf he lives around here though,61,13
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send to rcv,147,32
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,even my brother is not like to speak with me they treat me like aids patent,77,16
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,160,26
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only,157,26
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,154,29
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,109,21
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,six chances to win cash from to pounds txt csh and send to cost pday days tsandcs apply reply hl info,136,26
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,urgent you have won a week free membership in our prize jackpot txt the word claim to no tc wwwdbuknet lccltd pobox ldnwarw,155,26
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,196,37
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,i have a date on sunday with will,35,8
